round,accu
100,0.100
200,0.108
300,0.114
400,0.121
500,0.128
600,0.142
700,0.153
800,0.169
900,0.170
1000,0.192
1100,0.197
1200,0.198
1300,0.217
1400,0.233
1500,0.252
1600,0.250
1700,0.263
1800,0.271
1900,0.284
2000,0.295
2100,0.307
2200,0.308
2300,0.310
2400,0.334
2500,0.333
2600,0.359
2700,0.362
2800,0.385
2900,0.390
3000,0.397
3100,0.405
3200,0.397
3300,0.424
3400,0.429
3500,0.429
3600,0.442
3700,0.452
3800,0.445
3900,0.467
4000,0.480
4100,0.479
4200,0.481
4300,0.473
4400,0.486
4500,0.520
4600,0.507
4700,0.517
4800,0.522
4900,0.531
5000,0.525
5100,0.534
5200,0.532
5300,0.542
5400,0.549
5500,0.554
5600,0.560
5700,0.570
5800,0.563
5900,0.575
6000,0.590
6100,0.580
6200,0.592
6300,0.587
6400,0.591
6500,0.622
6600,0.607
6700,0.604
6800,0.629
